iter	Passed	Remaining
735	1137	408
736	1138	406
737	1139	404
738	1140	402
739	1141	401
740	1142	399
741	1143	397
742	1144	395
743	1145	394
744	1146	392
745	1147	390
746	1149	389
747	1150	387
748	1151	385
749	1152	384
750	1153	382
751	1154	380
752	1155	379
753	1156	377
754	1157	375
755	1158	373
756	1159	372
757	1160	370
758	1161	368
759	1162	367
760	1164	365
761	1165	364
762	1166	362
763	1167	360
764	1168	359
765	1169	357
766	1170	355
767	1171	353
768	1172	352
769	1173	350
770	1174	348
771	1175	347
772	1176	345
773	1178	344
774	1179	342
775	1181	340
776	1182	339
777	1183	337
778	1184	336
779	1185	334
780	1186	332
781	1187	331
782	1189	329
783	1190	327
784	1190	326
785	1191	324
786	1193	323
787	1194	321
788	1195	319
789	1196	318
790	1197	316
791	1198	314
792	1199	313
793	1200	311
794	1201	309
795	1202	308
796	1203	306
797	1204	304
798	1205	303
799	1206	301
800	1210	300
801	1211	299
802	1213	297
803	1214	296
804	1215	294
805	1217	293
806	1218	291
807	1220	289
808	1221	288
809	1223	286
810	1224	285
811	1225	283
812	1226	282
813	1227	280
814	1229	279
815	1230	277
816	1231	275
817	1233	274
818	1234	272
819	1236	271
820	1238	269
821	1239	268
822	1240	266
823	1241	265
824	1243	263
825	1244	262
826	1245	260
827	1246	258
828	1247	257
829	1248	255
830	1250	254
831	1251	252
832	1252	251
833	1254	249
834	1255	248
835	1256	246
836	1257	244
837	1258	243
838	1259	241
839	1260	240
840	1261	238
841	1262	236
842	1263	235
843	1265	233
844	1266	232
845	1267	230
846	1268	229
847	1269	227
848	1270	226
849	1272	224
850	1273	222
851	1274	221
852	1275	219
853	1276	218
854	1277	216
855	1279	215
856	1281	213
857	1282	212
858	1283	210
859	1285	209
860	1286	207
861	1287	206
862	1289	204
863	1290	203
864	1291	201
865	1293	200
866	1294	198
867	1295	197
868	1296	195
869	1297	193
870	1299	192
871	1300	190
872	1301	189
873	1302	187
874	1303	186
875	1304	184
876	1305	183
877	1307	181
878	1309	180
879	1310	178
880	1311	177
881	1312	175
882	1313	174
883	1314	172
884	1315	170
885	1316	169
886	1318	167
887	1319	166
888	1320	164
889	1322	163
890	1323	161
891	1325	160
892	1326	158
893	1327	157
894	1328	155
895	1329	154
896	1330	152
897	1331	151
898	1332	149
899	1333	148
900	1335	146
901	1337	145
902	1338	143
903	1339	142
904	1340	140
905	1341	139
906	1343	137
907	1344	136
908	1345	134
909	1347	133
910	1348	131
911	1349	130
912	1351	128
913	1352	127
914	1353	125
915	1354	124
916	1355	122
917	1356	121
918	1358	119
919	1359	118
920	1360	116
921	1361	115
922	1362	113
923	1365	112
924	1367	110
925	1368	109
926	1369	107
927	1370	106
928	1372	104
929	1373	103
930	1374	101
931	1375	100
932	1376	98
933	1378	97
934	1380	95
935	1381	94
936	1382	92
937	1383	91
938	1384	89
939	1385	88
940	1387	86
941	1388	85
942	1389	83
943	1390	82
944	1391	81
945	1393	79
946	1394	78
947	1396	76
948	1397	75
949	1398	73
950	1399	72
951	1400	70
952	1401	69
953	1403	67
954	1404	66
955	1405	64
956	1407	63
957	1408	61
958	1409	60
959	1410	58
960	1411	57
961	1413	55
962	1414	54
963	1415	52
964	1416	51
965	1417	49
966	1418	48
967	1419	46
968	1422	45
969	1423	44
970	1424	42
971	1425	41
972	1426	39
973	1427	38
974	1429	36
975	1430	35
976	1431	33
977	1432	32
978	1433	30
979	1434	29
980	1435	27
981	1437	26
982	1438	24
983	1439	23
984	1440	21
985	1441	20
986	1442	19
987	1443	17
988	1444	16
989	1445	14
990	1446	13
991	1447	11
992	1448	10
993	1449	8
994	1452	7
995	1454	5
996	1455	4
997	1457	2
998	1458	1
999	1460	0
